original	old	match_kind	name_usage	accepted_name_usage	parent_name_usage
Solanum cinereum	:solanum-cinereum	species match	https://id.biodiversity.org.au/instance/apni/577684	https://id.biodiversity.org.au/instance/apni/577684	https://id.biodiversity.org.au/instance/apni/603734
Spatula rhynchotis	:spatula-rhynchotis	species match	https://id.biodiversity.org.au/instance/afd/72275031	https://id.biodiversity.org.au/instance/afd/72275031	https://id.biodiversity.org.au/instance/afd/72275030
Stellaria pungens	:stellaria-pungens	species match	https://id.biodiversity.org.au/instance/apni/647692	https://id.biodiversity.org.au/instance/apni/647692	https://id.biodiversity.org.au/instance/apni/647525
Stictonetta naevosa	:stictonetta-naevosa	species match	https://id.biodiversity.org.au/instance/afd/70864408	https://id.biodiversity.org.au/instance/afd/70864408	https://id.biodiversity.org.au/instance/afd/70864407
Strepera graculina	:strepera-graculina	species match	https://id.biodiversity.org.au/instance/afd/70864515	https://id.biodiversity.org.au/instance/afd/70864515	https://id.biodiversity.org.au/instance/afd/70864501
Sturnus vulgaris	:sturnus-vulgaris	species match	https://id.biodiversity.org.au/instance/afd/72369291	https://id.biodiversity.org.au/instance/afd/70864842	https://id.biodiversity.org.au/instance/afd/70864839
Stylidium armeria subsp armeria	:stylidium-armeria-subsp-armeria	subspecies match	https://id.biodiversity.org.au/instance/apni/716538	https://id.biodiversity.org.au/instance/apni/716538	https://id.biodiversity.org.au/instance/apni/716534
Swainsona recta	:swainsona-recta	species match	https://id.biodiversity.org.au/instance/apni/519417	https://id.biodiversity.org.au/instance/apni/519417	https://id.biodiversity.org.au/instance/apni/732185
Swainsona sericea	:swainsona-sericea	species match	https://id.biodiversity.org.au/instance/apni/928522	https://id.biodiversity.org.au/instance/apni/732646	https://id.biodiversity.org.au/instance/apni/732185
Synemon plana	:synemon-plana	species match	https://id.biodiversity.org.au/instance/afd/70812905	https://id.biodiversity.org.au/instance/afd/70812905	https://id.biodiversity.org.au/instance/afd/70812844
Tachyglossus aculeatus	:tachyglossus-aculeatus	species match	https://id.biodiversity.org.au/instance/afd/70792265	https://id.biodiversity.org.au/instance/afd/70792265	https://id.biodiversity.org.au/instance/afd/70792264
Tagetes erecta	:tagetes-erecta	species match	https://id.biodiversity.org.au/instance/apni/4300169	https://id.biodiversity.org.au/instance/apni/4300169	https://id.biodiversity.org.au/instance/apni/703802
Thelymitra sp.	:thelymitra-sp	genus match	https://id.biodiversity.org.au/instance/apni/51413815	https://id.biodiversity.org.au/instance/apni/51413815	null
Thysanotus patersonii	:thysanotus-patersonii	species match	https://id.biodiversity.org.au/instance/apni/51431577	https://id.biodiversity.org.au/instance/apni/51431577	https://id.biodiversity.org.au/instance/apni/51267075
